Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Banda ancha fija,Dial up,Accesos por cada 100 hogares,Accesos por cada 100 hab
2023,4,836390,6022532,3908183,585760,194796,11535868,11793,78.56,24.66
2023,3,897895,6018832,3708718,581436,200027,11395115,11793,77.84,24.41
2023,2,1006509,5997149,3463988,581823,202428,11239781,12116,77.02,24.14
2023,1,1204417,6002582,3243411,576647,214838,11229459,12436,77.2,24.17
2022,4,1315373,6037457,3060575,572969,221740,11195668,12446,77.21,24.15
2022,3,1395277,6031970,2871541,557110,235230,11078691,12437,76.64,23.95
2022,2,1468333,5979214,2723285,556243,231609,10946248,12436,75.96542437191371,23.7204423164287
2022,1,1533240,6073426,2219533,545814,251996,10611390,12619,73.87880284452622,23.049171038697732
2021,4,1657615,5984240,2072236,523107,252596,10476933,12861,73.17639652814779,22.810702052174992
2021,3,1950631,5826257,1566048,492415,250190,10075184,10357,70.57885341443017,21.982550082706407
2021,2,2018587,5641731,1472246,476968,253552,9852702,10382,69.24018269199719,21.54793892759205
2021,1,2175211,5424782,1362976,434548,250455,9637956,10016,67.94587638885211,21.127831812160064
2020,4,2213949,5371824,1311199,421554,253036,9561546,10016,67.62233866155619,21.010191748284452
2020,3,2263889,5259351,1170879,413259,248821,9346183,10016,66.31,20.59
2020,2,2295533,5005115,1106725,376667,247016,9021040,10016,64.21000287666993,19.918402765295003
2020,1,2299457,4903674,1047817,352333,209145,8802435,9991,62.85636111359369,19.483264768615577
2019,4,2414575,4883869,941295,340144,213298,8783053,10128,62.91991182091471,19.48790008712971
2019,3,2909805,4800091,852221,338241,264326,9142891,21793,65.7879845391111,20.360660718556826
2019,2,2990457,4635575,760794,308027,265328,8938427,21754,64.53,19.96
2019,1,3132789,4435439,637099,276419,166389,8626323,21812,62.47916610977176,19.307906741229864
2018,4,3329027,4313831,388013,264299,178485,8451841,21814,61.41580723435766,18.97
2018,3,3521447,4238171,247366,246181,93870,8320223,26812,60.69,18.73
2018,2,3557216,4038141,226285,194267,94535,8083533,26911,59.1620687879326,18.24
2018,1,3574294,3981129,217460,165300,98870,8009981,27072,58.82,18.12
2017,4,3584311,3818157,211425,155775,100554,7842778,27444,57.782350963183326,17.7929770681446
2017,3,3622575,3670221,193964,106443,131740,7696594,28349,56.89922141223151,17.5090322340829
2017,2,3723518,3383434,180777,85813,56122,7401134,28530,54.901190659837084,16.8829367167329
2017,1,3708898,3276251,180146,84813,55746,7277314,28540,54.16211582414749,16.6445653587914
2016,4,3722794,3210602,178070,85119,55088,7223128,28545,53.93601866428618,16.564000030973244
2016,3,3776442,3124855,169898,81455,54300,7178340,28610,53.73418622887769,16.504675674002662
2016,2,3782085,3035272,167788,85452,59482,7097604,32475,53.342201152611636,16.371351499331684
2016,1,3792493,2806359,164371,85370,58763,6874704,32652,51.84545169695796,15.901801868833909
2015,4,3803024,2898226,139187,85726,58668,6952289,32542,52.63088750448939,16.122696946278083
2015,3,3788696,2840203,162663,84530,58976,6902267,32801,52.45910622153948,16.050289147694723
2015,2,3767821,2756294,150839,82077,59157,6783279,32909,51.760266081540586,15.8172335655737
2015,1,3756153,2668248,168188,79098,66045,6699714,38018,51.36458636223469,15.677234003379093
2014,4,3764038,2536219,149682,76984,71573,6559172,39324,50.49978847426527,15.394676968457423
2014,3,3714764,2569868,155494,85096,70049,6559264,36007,50.67236813472314,15.428768804428332
2014,2,3708882,2461670,149363,72405,72148,6428329,36139,49.861428437657636,15.163908007906054
2014,1,3697066,2407330,150323,70749,72930,6362108,36290,49.545821345016996,15.050103872893196
