Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Banda ancha fija,Dial up,Accesos por cada 100 hogares,Accesos por cada 100 hab
2023,4,Buenos Aires,223391.0,2797700.0,1784593.0,137993.0,67943.0,5005720,5900.0,80.96,27.68
2023,4,Capital Federal,58700.0,1198835.0,182520.0,4492.0,29820.0,1472317,2050.0,117.02,47.8
2023,4,Catamarca,6669.0,11016.0,55437.0,1384.0,81.0,74586,1.0,68.63,17.46
2023,4,Chaco,14000.0,60277.0,62301.0,8404.0,2404.0,147381,5.0,44.35,11.85
2023,4,Chubut,26306.0,77217.0,26174.0,30543.0,9930.0,169313,857.0,84.96,26.04
2023,4,Córdoba,115662.0,452380.0,440536.0,61862.0,8862.0,1079239,63.0,90.67,27.76
2023,4,Corrientes,21769.0,86102.0,35968.0,10402.0,5231.0,159469,3.0,52.56,13.84
2023,4,Entre Ríos,41794.0,159575.0,61667.0,24036.0,11565.0,298617,20.0,69.94,20.91
2023,4,Formosa,10252.0,18325.0,16179.0,17061.0,185.0,62002,0.0,39.23,9.98
2023,4,Jujuy,11669.0,51083.0,49947.0,4105.0,1216.0,118020,0.0,57.78,14.77
2023,4,La Pampa,6844.0,59063.0,34331.0,19982.0,1106.0,121164,162.0,99.96,32.93
2023,4,La Rioja,3296.0,55441.0,22559.0,6395.0,30.0,87717,4.0,80.22,21.35
2023,4,Mendoza,17676.0,70920.0,182220.0,27609.0,926.0,298621,730.0,52.15,14.55
2023,4,Misiones,25840.0,79000.0,75382.0,12928.0,7183.0,200333,0.0,56.27,15.33
2023,4,Neuquén,24122.0,73784.0,41583.0,24390.0,748.0,164188,439.0,79.91,23.78
2023,4,Río Negro,21192.0,49789.0,64323.0,17284.0,15829.0,167902,515.0,70.26,21.61
2023,4,Salta,26765.0,98853.0,60800.0,11806.0,6508.0,204727,5.0,56.98,13.8
2023,4,San Juan,12669.0,18543.0,42691.0,22351.0,6956.0,102963,247.0,50.08,12.75
2023,4,San Luis,4037.0,41260.0,30135.0,78954.0,299.0,154520,165.0,102.07,29.21
2023,4,Santa Cruz,7768.0,15669.0,55246.0,7687.0,661.0,86844,187.0,73.75,21.94
2023,4,Santa Fe,97004.0,398670.0,355762.0,44521.0,13544.0,909395,106.0,79.75,25.08
2023,4,Santiago Del Estero,8290.0,80692.0,24271.0,7057.0,2920.0,123228,2.0,49.08,12.18
2023,4,Tierra Del Fuego,9357.0,48071.0,3682.0,157.0,332.0,61294,305.0,110.49,32.75
2023,4,Tucumán,41318.0,20267.0,199876.0,4357.0,517.0,266308,27.0,61.04,15.12
2023,3,Buenos Aires,237705.0,2784175.0,1740239.0,137921.0,68197.0,4962337,5900.0,80.64,27.5
2023,3,Capital Federal,60765.0,1205339.0,167428.0,4629.0,29823.0,1465934,2050.0,116.4,47.6
2023,3,Catamarca,7164.0,11066.0,54650.0,1384.0,91.0,74354,1.0,68.55,17.44
2023,3,Chaco,16420.0,60058.0,54993.0,8267.0,2408.0,142141,5.0,42.87,11.46
2023,3,Chubut,26352.0,75460.0,25827.0,30521.0,9908.0,167211,857.0,84.23,25.82
2023,3,Córdoba,125050.0,453994.0,417338.0,62514.0,10438.0,1069271,63.0,90.05,27.57
2023,3,Corrientes,24253.0,83897.0,36032.0,10407.0,5240.0,159826,3.0,52.78,13.9
2023,3,Entre Ríos,45384.0,157464.0,54794.0,24481.0,11170.0,293273,20.0,68.84,20.58
2023,3,Formosa,11230.0,18053.0,14904.0,16899.0,228.0,61314,0.0,38.86,9.89
2023,3,Jujuy,12627.0,51082.0,48350.0,4067.0,1251.0,117377,0.0,57.61,14.73
2023,3,La Pampa,6844.0,59063.0,32891.0,20014.0,1109.0,119759,162.0,99.0,32.62
2023,3,La Rioja,3726.0,55494.0,22054.0,6395.0,32.0,87697,4.0,80.44,21.41
2023,3,Mendoza,17677.0,73066.0,178719.0,27609.0,951.0,297292,730.0,52.03,14.52
2023,3,Misiones,27934.0,79087.0,70003.0,12928.0,7183.0,197135,0.0,55.51,15.12
2023,3,Neuquén,24527.0,73329.0,39243.0,24085.0,3089.0,163834,439.0,79.97,23.8
2023,3,Río Negro,22422.0,50429.0,56668.0,16864.0,17102.0,162970,515.0,68.4,21.04
2023,3,Salta,29113.0,98324.0,59914.0,12337.0,6545.0,206228,5.0,57.57,13.94
2023,3,San Juan,12669.0,19376.0,42383.0,22317.0,6985.0,103483,247.0,50.45,12.85
2023,3,San Luis,4037.0,41624.0,24525.0,78431.0,299.0,148751,165.0,98.55,28.2
2023,3,Santa Cruz,8376.0,23931.0,11270.0,3660.0,750.0,47800,187.0,40.89,12.17
2023,3,Santa Fe,108503.0,397854.0,336013.0,44545.0,13437.0,900246,106.0,79.09,24.87
2023,3,Santiago Del Estero,9412.0,80919.0,21745.0,6916.0,2936.0,121926,2.0,48.67,12.08
2023,3,Tierra Del Fuego,9357.0,45203.0,3682.0,157.0,332.0,58426,305.0,105.95,31.41
2023,3,Tucumán,46348.0,20545.0,195053.0,4088.0,523.0,266530,27.0,61.26,15.17
2023,2,Buenos Aires,265537.0,2766463.0,1645945.0,138405.0,69138.0,4879442,6046.0,79.67,27.1
2023,2,Capital Federal,68348.0,1218631.0,136295.0,4504.0,29900.0,1455578,2100.0,115.48,47.27
2023,2,Catamarca,7637.0,10700.0,53177.0,1384.0,92.0,72989,1.0,67.42,17.15
2023,2,Chaco,19115.0,59944.0,51955.0,8267.0,2574.0,141850,5.0,42.87,11.46
2023,2,Chubut,33702.0,73689.0,16111.0,30521.0,9938.0,163078,883.0,82.49,25.28
2023,2,Córdoba,129303.0,453924.0,411703.0,62391.0,10430.0,1067686,65.0,90.13,27.59
2023,2,Corrientes,26821.0,82977.0,32834.0,10407.0,5255.0,158290,4.0,52.37,13.79
2023,2,Entre Ríos,46503.0,142562.0,49251.0,24461.0,11170.0,273927,20.0,64.43,19.26
2023,2,Formosa,11934.0,17678.0,13698.0,16813.0,227.0,60350,0.0,38.32,9.75
2023,2,Jujuy,13749.0,51082.0,47289.0,4067.0,1255.0,117442,0.0,57.78,14.78
2023,2,La Pampa,7254.0,59101.0,31449.0,19993.0,1113.0,118744,166.0,98.35,32.4
2023,2,La Rioja,4152.0,55148.0,21245.0,6395.0,32.0,86968,4.0,80.01,21.3
2023,2,Mendoza,25299.0,71931.0,171857.0,27609.0,980.0,296921,755.0,52.09,14.54
2023,2,Misiones,28897.0,82058.0,64406.0,12927.0,7183.0,195471,0.0,55.18,15.03
2023,2,Neuquén,26379.0,73040.0,35171.0,24046.0,3110.0,161289,457.0,78.97,23.5
2023,2,Río Negro,26390.0,49684.0,53325.0,16864.0,17116.0,162848,531.0,68.56,21.09
2023,2,Salta,30666.0,97501.0,58275.0,12337.0,6549.0,205323,5.0,57.48,13.92
2023,2,San Juan,21483.0,20200.0,25217.0,23545.0,7004.0,97189,260.0,47.52,12.1
2023,2,San Luis,4937.0,41949.0,15595.0,77960.0,307.0,140575,173.0,93.41,26.73
2023,2,Santa Cruz,9019.0,23896.0,11269.0,3660.0,758.0,48410,192.0,41.66,12.39
2023,2,Santa Fe,126344.0,399669.0,311166.0,44134.0,14501.0,895706,108.0,78.83,24.79
2023,2,Santiago Del Estero,10629.0,80086.0,17244.0,6916.0,2934.0,117807,2.0,47.14,11.7
2023,2,Tierra Del Fuego,12392.0,45224.0,525.0,157.0,337.0,58325,310.0,106.38,31.54
2023,2,Tucumán,50019.0,20012.0,188986.0,4060.0,525.0,263573,29.0,60.75,15.05
2023,1,Buenos Aires,304583.0,2761043.0,1551074.0,132458.0,71770.0,4814729,6199.0,79.0,26.81
2023,1,Capital Federal,132149.0,1223930.0,156222.0,4605.0,31823.0,1546584,2145.0,122.59,50.23
2023,1,Catamarca,6980.0,10655.0,50230.0,1384.0,2243.0,71491,1.0,66.17,16.83
2023,1,Chaco,21243.0,60727.0,49756.0,8142.0,2574.0,142437,5.0,43.15,11.53
2023,1,Chubut,45448.0,73525.0,9815.0,30521.0,10744.0,169149,904.0,85.89,26.32
2023,1,Córdoba,136976.0,455139.0,386297.0,61066.0,10494.0,1049904,68.0,88.84,27.2
